date,industry,ret,condition
2016-09-16,NoDur,-0.4700,Calm-Down
2016-09-19,NoDur,-0.0500,Calm-Down
2016-09-20,NoDur,0.0800,Calm-Up
2016-09-21,NoDur,0.9400,Calm-Up
2016-09-22,NoDur,0.8200,Calm-Up
2016-09-23,NoDur,-0.4900,Calm-Down
2016-09-26,NoDur,-1.1100,Calm-Down
2016-09-27,NoDur,0.5300,Calm-Up
2016-09-28,NoDur,0.0700,Calm-Up
2016-09-29,NoDur,-0.7100,Calm-Down
2016-09-30,NoDur,0.7000,Calm-Up
2016-10-03,NoDur,-0.1900,Calm-Down
2016-10-04,NoDur,-0.9500,Calm-Down
2016-10-05,NoDur,-0.2000,Calm-Up
2016-10-06,NoDur,0.2100,Calm-Up
2016-10-07,NoDur,-0.3400,Calm-Down
2016-10-10,NoDur,0.5100,Calm-Up
2016-10-11,NoDur,-0.7900,Calm-Down
2016-10-12,NoDur,0.4700,Calm-Up
2016-10-13,NoDur,-0.0700,Calm-Down
2016-10-14,NoDur,0.0100,Calm-Up
2016-10-17,NoDur,-0.1900,Calm-Down
2016-10-18,NoDur,0.5300,Calm-Up
2016-10-19,NoDur,-0.3900,Calm-Up
2016-10-20,NoDur,-0.2900,Calm-Down
2016-10-21,NoDur,0.9200,Calm-Down
2016-10-24,NoDur,0.8400,Calm-Up
2016-10-25,NoDur,-0.4300,Calm-Down
2016-10-26,NoDur,-0.2300,Calm-Down
2016-10-27,NoDur,-0.6400,Calm-Down
2016-10-28,NoDur,0.9100,Calm-Down
2016-10-31,NoDur,0.1800,Volatile-Down
2016-11-01,NoDur,-0.5400,Volatile-Down
2016-11-02,NoDur,-0.3600,Volatile-Down
2016-11-03,NoDur,-0.7000,Volatile-Down
2016-11-04,NoDur,-0.7600,Volatile-Down
2016-11-07,NoDur,1.8300,Volatile-Up
2016-11-08,NoDur,1.2000,Volatile-Up
2016-11-09,NoDur,-1.8400,Calm-Up
2016-11-10,NoDur,-2.9200,Calm-Up
2016-11-11,NoDur,-0.1300,Calm-Down
2016-11-14,NoDur,-0.2900,Calm-Down
2016-11-15,NoDur,0.7000,Calm-Up
2016-11-16,NoDur,0.3000,Calm-Down
2016-11-17,NoDur,0.2800,Calm-Up
2016-11-18,NoDur,-0.3800,Calm-Down
2016-11-21,NoDur,0.7100,Calm-Up
2016-11-22,NoDur,0.8200,Calm-Up
2016-11-23,NoDur,-0.7900,Calm-Up
2016-11-25,NoDur,0.7400,Calm-Up
2016-11-28,NoDur,0.0700,Calm-Down
2016-11-29,NoDur,0.0700,Calm-Up
